info_status,koi_period,koi_duration,koi_impact,koi_ror,koi_dor,koi_depth,koi_slogg,koi_srad,koi_smass,density_diff,Transit_shape
Confirmed,10.38122447,2.715,0.319,0.025572,28.48,801.5,4.566,0.78,0.816,23.43023256,0.344572
Confirmed,10.38122447,2.715,0.319,0.025572,28.48,801.5,4.566,0.78,0.816,23.43023256,0.344572
FP,0.542122617,1.283,0.108,0.008585,3.2903,88.3,4.476,0.998,1.088,7.397260274,0.116585
Confirmed,16.54081386,2.5996,0.688,0.018716,36.5,370,4.572,0.769,0.806,25.05643341,0.706716
FP,24.5714867,29.96,0.978,0.029134,2.24,506.4,4.462,0.956,0.967,4.155374887,1.007134
FP,1.404674486,5.056,0.8171,0.01288,1.551,155.5,4.65,0.609,0.603,67.07865169,0.82998
FP,1.40469182,6.26327,0.597,1.067906,3.6419,702440,4.043,1.863,1.396,27.77777778,1.664906
FP,0.681137796,2.7287,0.968,0.484918,2.449,105190,4.474,0.864,0.811,24.26412092,1.452918
FP,135.57186,9.94,0.2687,0.005943,101.1,41.2,4.117,1.277,0.778,29.41176471,0.274643
FP,10.30698279,11.4277,0.564,0.611069,10.45087,341790,4.225,1.217,0.907,11.1332008,1.175069
FP,386.6030528,6.8057,0.9765,0.240528,332,24927,4.081,1.58,1.103,8.928571429,1.217028
FP,204.0329342,17.5623,0.49,0.65162,140,411370,4.577,0.806,0.903,11.53623188,1.14162
Confirmed,13.12162167,3.6138,0.807,0.014262,17.08,196.9,4.265,1.277,1.094,7.80952381,0.821262
Confirmed,13.12162167,3.6138,0.807,0.014262,17.08,196.9,4.265,1.277,1.094,7.80952381,0.821262
FP,0.983304511,1.78,0.477,0.008406,3.815,79.9,4.386,1.198,1.273,20.81081081,0.485406
FP,1.109841858,8.11952,0.12,0.507005,1.8408,300710,3.607,3.211,1.52,34.7826087,0.627005
FP,1.838514968,2.7391,0.045,0.047309,5.4,2721.7,4.508,0.94,1.038,2.96,0.092309
FP,1.838514245,3.2601,0.947,0.499988,5.145,118960,4.326,1.055,0.861,17.053206,1.446988
FP,54.35635067,6.4345,1.142,0.283169,37.79,10510,4.281,1.255,1.095,7.942238267,1.425169
FP,1.8437362,21.04,1.189,0.207686,1.208,341.1,4.358,1.114,1.033,2.409638554,1.396686
FP,8.53161917,2.9596,1.118,0.499969,22.1,65744,4.438,1,1,0.8,1.617969
FP,18.79852,4.795,0.936,0.026189,12.63,487.4,4.589,0.715,0.723,39.38321537,0.962189
FP,18.79852,4.795,0.936,0.026189,12.63,487.4,4.589,0.715,0.723,39.38321537,0.962189
FP,18.79862195,7.4782,0.524,0.633582,29.73,380200,4.585,0.796,0.893,12.81761717,1.157582
FP,281.36926,66.892,0.038,0.098333,35.277,12435,3.125,5.303,1.366,22.22222222,0.136333
FP,7.234965722,7.0245,0.548,0.390538,10.0975,164850,4.573,0.798,0.868,16.10070258,0.938538
FP,14.46993942,7.455,1.027,0.086932,5.36,1235.3,2.715,9.043,1.549,50,1.113932
FP,7.45306683,4.7617,10.337,9.56302,28,46552,4.438,1,1,0.8,19.90002
FP,1.65320144,1.525,0.148,0.010218,8.3,132.1,4.609,0.661,0.647,55.75892857,0.158218
FP,2.44295727,4.0656,1.242,0.406151,3.3,15298,4.438,1,1,0.8,1.648151
FP,2.442945167,4.0145,1.217,0.245548,1.733,677.9,4.121,1.428,0.983,2.366863905,1.462548
Confirmed,15.90688891,3.9879,0.014,0.027043,31.3,924.7,4.554,0.797,0.829,21.56383629,0.041043
Confirmed,15.90688891,3.9879,0.014,0.027043,31.3,924.7,4.554,0.797,0.829,21.56383629,0.041043
